Song,Artist,Min_Listeners_Either_User
Ivy,Frank Ocean,30
Guilt Trip,Kanye West,30
Lift Yourself,Kanye West,30
Heavy Metal Drummer,Wilco,30
I Know There's Gonna Be (Good Times) [feat. Young Thug and Popcaan],Jamie xx,29
Some Kind Of Game,Against All Logic,29
800 db cloud,100 gecs,29
Only Shallow,my bloody valentine,29
House of Cards,Radiohead,29
F*ck Your Ethnicity,Kendrick Lamar,28
oh baby,LCD Soundsystem,28
Accordion,Madvillain,28
When You Sleep,my bloody valentine,28
How to Disappear Completely,Radiohead,28
I Can't Win,The Strokes,28
Flim,Aphex Twin,27
New Slaves,Kanye West,27
Runaway,Kanye West,27
Drunk Girls,LCD Soundsystem,27
When You Die,MGMT,27
Nice Boys,TEMPOREX,27
Maps,Yeah Yeah Yeahs,27
Airbag,Radiohead,26
Subterranean Homesick Alien,Radiohead,26
Guillotine,Death Grips,25
Midnight in a Perfect World,DJ Shadow,25
Str8 Outta Mumbai,Jai Paul,25
Thug Tears,JPEGMAFIA,25
All Caps,Madvillain,25
Meat Grinder,Madvillain,25
Eventually,Tame Impala,25
In Undertow,Alvvays,24
So Hot You're Hurting My Feelings,Caroline Polachek,24
Motion Picture Soundtrack,Radiohead,24
Be Above It,Tame Impala,24
Cherry-Coloured Funk,Cocteau Twins,23
Waves,Kanye West,23
Everything in Its Right Place,Radiohead,23
Kid A,Radiohead,23
Endors Toi,Tame Impala,23
Skinny Love,Bon Iver,22
Chum,Earl Sweatshirt,22
Baby,Four Tet,22
I Thought About Killing You,Kanye West,22
Obstacle 1,Interpol,21
Lost in the World,Kanye West,21
Wesley's Theory,Kendrick Lamar,21
Feel the Love,KIDS SEE GHOSTS,21
Plantasia,Mort Garson,21
Planet Telex,Radiohead,21
Take It or Leave It,The Strokes,21
Adult Diversion,Alvvays,20
POWER,Kanye West,20
Ashes of American Flags,Wilco,20
War on War,Wilco,20
All of the Lights,Kanye West,19
North American Scum,LCD Soundsystem,19
The Moon,The Microphones,19
RUNNING OUT OF TIME,"Tyler, the Creator",19
Kamera,Wilco,19
Hustle Bones,Death Grips,18
King Kunta,Kendrick Lamar,18
